candidate_id,rank,score,reasoning
CAND_0037980,39,54.3727,"Senior Applied Scientist with 9.0 YOE with Niramai. Shipped: Designed the ranking layer for the company's flagship product: how do we surface the right thing at the right time, across millions of items, for millions of users. Strong match - good alignment with retrieval-focused skills."
CAND_0041610,40,54.2933,"Recommendation Systems Engineer with 6.7 YOE with Zoho. Shipped: Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and the answer-generation layer (initially GPT-4, then a fine-tuned smaller model for cost control). Strong match - good alignment with retrieval-focused skills. Note: low response rate (52%)."
CAND_0064904,41,53.6946,"Spent 4.9 years as AI Engineer based at LinkedIn, focusing on accomplishments like ""Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking""; included as alternative option but has concerns around YOE (4.9) is outside target band, 90-day notice period."
CAND_0079284,42,53.4921,"Alternative selection - 4.9 YOE as Machine Learning Engineer based at Google; offers adjacent search expertise in Qdrant, Elasticsearch, Fine-tuning LLMs; concern: YOE (4.9) is outside target band."
CAND_0033179,43,52.8104,"Alternative ML candidate. 6.9 YOE as AI Research Engineer based at Wipro. Key project: ""Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production"". Gaps: consulting background (Wipro)."
CAND_0010257,44,52.5149,"Senior Data Scientist - 6.5 YOE at Google. Accomplished in ""Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking"". Adjacent/alternative profile (alternative selection for the position); note: 120-day notice period."
CAND_0098846,45,52.3967,"Experienced in ""Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and the answer-generation layer (initially GPT-4, then a fine-tuned smaller model for cost control)"" over 7.6 YOE as AI Engineer based at upGrad. Alternative match."
CAND_0076251,46,52.2658,"Search Engineer - 7.6 YOE based at Haptik. Accomplished in ""Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments"". Adjacent/alternative profile (secondary candidate with applicable search skills); note: low response rate (51%)."
CAND_0070398,47,51.4149,"Alternative ML candidate. 7.2 YOE as Machine Learning Engineer at Genpact AI. Key project: ""Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments"". Gaps: consulting background (Genpact AI), 120-day notice period."
CAND_0013440,48,49.7917,"Alternative ML candidate. 7.2 YOE as Senior Data Engineer at upGrad. Skills: Embeddings, OpenSearch, GANs. Gaps: consulting background (TCS, Cognizant)."
CAND_0061550,49,49.4147,"Currently serving as ML Engineer at Infosys with 5.3 YOE, with expertise in pgvector, Sentence Transformers, Data Science; representing an alternative fit; however, note consulting background (Infosys)."
CAND_0010149,50,49.3892,"ML Engineer with 6.9 YOE based at Glance. Shipped: Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. Alternative profile; secondary candidate with applicable search skills. Note: consulting background (TCS), 90-day notice period."
CAND_0086154,51,49.2936,"Spent 6.8 years as Data Scientist based at Ola, specializing in OpenSearch, Qdrant, scikit-learn; included as alternative option but has concerns around 90-day notice period."
CAND_0075931,52,48.7672,"Alternative ML candidate. 7.5 YOE as Software Engineer based at BYJU'S. Skills: Diffusion Models, Sentence Transformers, Recommendation Systems. Gaps: 90-day notice period."
CAND_0060257,53,48.7118,"Spent 5.8 years as AI Specialist based at Paytm, focusing on accomplishments like ""Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production""; included as alternative option."
CAND_0099401,54,47.8725,"Currently serving as NLP Engineer at Dream11 with 7.7 YOE, where they ""Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking""; representing an alternative fit; however, note consulting background (Genpact AI), low response rate (42%), 90-day notice period."
CAND_0074225,55,47.8124,"Alternative selection - 4.3 YOE as Machine Learning Engineer with Unacademy; offers adjacent search expertise in Elasticsearch, Milvus, Python; concern: YOE (4.3) is outside target band, 120-day notice period."
CAND_0070514,56,47.5145,"Currently serving as AI Specialist with Glance with 5.5 YOE, with expertise in OpenSearch, FAISS, Pinecone; representing an alternative fit."
CAND_0077296,57,47.3983,"Computer Vision Engineer with 5.8 YOE based at Ola. Shipped: Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. Alternative profile; secondary candidate with applicable search skills. Note: consulting background (Genpact AI, Tech Mahindra), low response rate (50%), title deviates from retrieval focus."
CAND_0062413,58,47.1335,"Skilled in OpenSearch, Pinecone, Learning to Rank over 6.6 YOE as AI Research Engineer with upGrad. Alternative match."
CAND_0030784,59,46.1191,"Data Scientist - 4.4 YOE at Yellow.ai. Skilled in Embeddings, Python, Pinecone. Adjacent/alternative profile (alternative selection for the position); note: YOE (4.4) is outside target band, 90-day notice period."
CAND_0060538,60,45.6207,"Alternative selection - 5.2 YOE as ML Engineer with Verloop.io; offers adjacent search expertise in OpenSearch, Embeddings, Milvus; concern: consulting background (TCS), 90-day notice period."
CAND_0081852,61,45.4506,"Senior Data Scientist - 5.9 YOE based at Mad Street Den. Accomplished in ""Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and the answer-generation layer (initially GPT-4, then a fine-tuned smaller model for cost control)"". Adjacent/alternative profile (secondary candidate with applicable search skills); note: low response rate (44%)."
CAND_0060054,62,45.1762,"Currently serving as AI Engineer based at Mad Street Den with 6.4 YOE, where they ""Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments""; representing an alternative fit."
CAND_0059017,63,45.1212,"Skilled in Python, FAISS, Fine-tuning LLMs over 6.8 YOE as AI Research Engineer at PhonePe. Alternative match; concern: 90-day notice period."
CAND_0058688,64,45.0705,"AI Engineer - 6.7 YOE at Vedantu. Accomplished in ""Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking"". Adjacent/alternative profile (alternative selection for the position)."
CAND_0047721,65,44.875,"Experienced in ""Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking"" over 7.0 YOE as Senior Data Scientist based at Microsoft. Alternative match; concern: low response rate (49%), 90-day notice period."
CAND_0091890,66,44.8168,"AI Research Engineer - 4.7 YOE at Verloop.io. Accomplished in ""Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production"". Adjacent/alternative profile (alternative selection for the position); note: YOE (4.7) is outside target band, consulting background (Tech Mahindra), low response rate (49%)."
CAND_0094292,67,44.6854,"AI Specialist - 6.5 YOE based at Vedantu. Skilled in OpenSearch, LLMs, Image Classification. Adjacent/alternative profile (secondary candidate with applicable search skills); note: low response rate (53%)."
CAND_0094799,68,44.6737,"Spent 6.1 years as Backend Engineer based at Pied Piper, specializing in Pinecone, Python, Fine-tuning LLMs; included as alternative option but has concerns around low response rate (52%)."
CAND_0099806,69,44.5759,"Alternative selection - 4.6 YOE as AI Engineer with Mad Street Den; offers adjacent search expertise in FAISS, Embeddings, Qdrant; concern: YOE (4.6) is outside target band."
CAND_0042100,70,44.0867,"Skilled in Elasticsearch, Pinecone, Fine-tuning LLMs over 7.3 YOE as Machine Learning Engineer based at Freshworks. Alternative match; concern: 90-day notice period."
CAND_0000859,71,43.7503,"Senior Software Engineer - 5.9 YOE at Vedantu. Skilled in Pinecone, CNN, Semantic Search. Lacks search depth - adjacent skills only (adjacent technical background only); note: 90-day notice period."
CAND_0000633,72,43.3649,"Software Engineer - 6.4 YOE based at Infosys. Skilled in Recommendation Systems, Semantic Search, ASR. Lacks search depth - filler profile (represents an adjacent technical profile); note: consulting background (Infosys)."
CAND_0018722,73,43.0569,"Recommendation Systems Engineer with 6.6 YOE based at Saarthi.ai. Shipped: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Weak match - filler profile (represents an adjacent technical profile). Note: 90-day notice period."
CAND_0009837,74,42.767,"Senior Data Scientist - 4.3 YOE based at Rephrase.ai. Skilled in Python, FAISS, Qdrant. Lacks search depth - filler profile (represents an adjacent technical profile); note: YOE (4.3) is outside target band, low response rate (53%)."
CAND_0094759,75,42.514,Lead AI Engineer with 8.6 YOE based at Meta. Shipped: Led the migration from keyword-based to embedding-based search across a 30M+ candidate corpus over 8 months. Weak match - filler profile (represents an adjacent technical profile). Note: low response rate (11%).
CAND_0064270,76,41.5119,"Applied ML Engineer with 4.2 YOE based at Verloop.io. Focused on Embeddings, Elasticsearch, OpenSearch. Weak match - filler profile (represents an adjacent technical profile). Note: YOE (4.2) is outside target band."
CAND_0098217,77,41.3816,"Spent 6.4 years as ML Engineer based at Glance, specializing in Pinecone, FAISS, PEFT; included as a filler profile."
CAND_0099108,78,41.2824,"Adjacent skills only. 7.3 YOE as Software Engineer at Dream11. Skills: Information Retrieval, pgvector, Image Classification. Gaps: 90-day notice period."
CAND_0011759,79,41.1116,"Lacks direct search depth - 6.7 YOE as Senior Software Engineer with Paytm; offers experience in Pinecone, Semantic Search, Reinforcement Learning but missing direct retrieval focus; concern: 90-day notice period."
CAND_0048774,80,40.9958,"Spent 7.1 years as Senior Data Engineer at PhonePe, specializing in OpenSearch, YOLO, Recommendation Systems; included as an adjacent-skills profile but has concerns around 90-day notice period."
CAND_0067866,81,40.746,"Experienced in ""Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production"" over 6.4 YOE as Senior Software Engineer (ML) based at Tech Mahindra. Ranked lower as a filler profile; concern: consulting background (Tech Mahindra)."
CAND_0038368,82,40.5639,"Adjacent skills only - 5.4 YOE as ML Engineer at PhonePe; lacks direct search/retrieval depth but offers experience in Embeddings, FAISS, Fine-tuning LLMs."
CAND_0070525,83,40.4751,"Filler profile. 5.4 YOE as Senior Software Engineer (ML) based at Mad Street Den. Key project: ""Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production""."
CAND_0071939,84,40.3938,"Spent 6.4 years as Data Scientist with Krutrim, specializing in OpenSearch, Embeddings, Qdrant; included despite lacking direct search depth but has concerns around consulting background (Genpact AI)."
CAND_0088815,85,40.3539,"Data Engineer with 5.7 YOE at HCL. Focused on Embeddings, Python, Hugging Face Transformers. Weak match - adjacent skills only (adjacent technical background only). Note: consulting background (HCL), 90-day notice period."
CAND_0060392,86,40.1446,"Currently serving as Backend Engineer with Meesho with 5.2 YOE, with expertise in Sentence Transformers, Speech Recognition, Snowflake; representing a candidate who lacks direct search depth."
CAND_0087364,87,39.7651,"Spent 4.9 years as Recommendation Systems Engineer based at Glance, specializing in Milvus, Pinecone, OpenSearch; included as a filler profile but has concerns around YOE (4.9) is outside target band, low response rate (48%)."
CAND_0054859,88,39.3385,"Currently serving as Senior Software Engineer (ML) based at Ola with 6.9 YOE, with expertise in Embeddings, TTS, Computer Vision; representing a filler profile match; however, note 90-day notice period."
CAND_0016163,89,39.0003,"Applied ML Engineer with 6.7 YOE at Dream11. Shipped: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Weak match - adjacent skills only (adjacent technical background only). Note: 120-day notice period."
CAND_0068075,90,38.691,"Filler profile - 5.0 YOE as Software Engineer based at Nykaa; lacks direct search/retrieval depth but offers experience in LLMs, GANs, Object Detection."
CAND_0069638,91,38.6759,"Spent 6.2 years as Computer Vision Engineer at Swiggy, focusing on accomplishments like ""Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production""; included as an adjacent-skills profile but has concerns around title deviates from retrieval focus."
CAND_0080344,92,38.5425,"Adjacent skills only - 4.9 YOE as Senior Software Engineer (ML) at Zoho; lacks direct search/retrieval depth but offers experience in LLMs, Sentence Transformers, PyTorch; concern: YOE (4.9) is outside target band, 90-day notice period."
CAND_0066179,93,38.4046,"Filler profile. 4.2 YOE as Senior Software Engineer based at Vedantu. Skills: Milvus, Embeddings, OpenSearch. Gaps: YOE (4.2) is outside target band, 90-day notice period."
CAND_0063688,94,38.0943,"Data Engineer with 5.2 YOE at Dunder Mifflin. Focused on Image Classification, Hugging Face Transformers, ASR. Weak match - adjacent skills only (adjacent technical background only). Note: 90-day notice period."
CAND_0081480,95,37.1085,"Lacks direct search depth - 5.6 YOE as Computer Vision Engineer with Sarvam AI; offers experience in FAISS, Fine-tuning LLMs, Vector Search but missing direct retrieval focus; concern: title deviates from retrieval focus."
CAND_0048558,96,37.0802,"Experienced in ""Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production"" over 6.7 YOE as Data Scientist based at Rephrase.ai. Ranked lower as a filler profile."
CAND_0058575,97,37.0652,"Experienced in ""Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments"" over 5.8 YOE as AI Engineer based at Krutrim. Ranked lower as a filler profile; concern: 90-day notice period."
CAND_0025391,98,36.6514,"Spent 5.3 years as Senior Software Engineer based at Accenture, specializing in OpenSearch, Fine-tuning LLMs, MLflow; included as a filler profile but has concerns around consulting background (Accenture)."
CAND_0015967,99,36.3868,"Adjacent skills only - 5.4 YOE as Senior Software Engineer (ML) at Razorpay; lacks direct search/retrieval depth but offers experience in Embeddings, Pinecone, LLMs; concern: low response rate (45%)."
CAND_0018701,100,36.3743,"Skilled in Information Retrieval, Elasticsearch, Fine-tuning LLMs over 6.0 YOE as Junior ML Engineer based at Krutrim. Ranked lower as a filler profile."
